Project Name,Subscription,Billing Subscription,Project Created,Description,Client,Volume (GB),All Files Total File Count,All Files Monthly File Count,Total Documents Reviewed,Monthly Documents Reviewed,Third Party Users,Max Raw Entity Count
highlighty,Data Mining,Data Mining,2022/07/26 08:37 AM,,,0,0,0,0,0,18,0
ics1,Data Mining,Data Mining,2022/10/27 10:35 AM,ics1,,0,0,0,0,0,18,0
ics2,Data Mining,Data Mining,2022/10/27 10:50 AM,ics2,,0,0,0,0,0,18,0
ics4,Data Mining,Data Mining,2022/10/27 01:52 PM,ics4,,0,0,0,0,0,18,0
Image Classification Data Dont Delete,Data Mining,Data Mining,2024/02/15 05:48 AM,,,0,0,0,0,0,18,0
image classification test,Data Mining,Data Mining,2024/08/08 08:57 AM,,,0.01,17,0,0,0,18,0
IMAGE CLUSTER,Data Mining,Data Mining,2023/06/16 06:15 AM,,,0.01,403,0,1,1,18,0
image clustering (do not use),Data Mining,Data Mining,2022/03/01 05:22 AM,,,0,0,0,0,0,18,0
Image download issue ,Notification,Notification,2024/02/13 04:50 PM,,,0,0,0,0,0,18,0
image_cluster_automation (dont delete),Data Mining,Data Mining,2022/04/18 07:40 AM,image_cluster_automation (dont delete),Cypress,0,0,0,0,0,18,0
IMAGECLUSTER,Deleting,Data Mining,2024/09/09 12:01 PM,,,0.01,362,362,0,0,18,0
IMG cluster,Data Mining,Data Mining,2024/09/12 11:29 AM,,,0.01,403,403,0,0,18,0
Impact Assessment (Do not use),Data Mining,Data Mining,2021/12/14 10:24 AM,,,0,0,0,0,0,18,0
inclusive count (with Duplicates),Data Mining,Data Mining,2022/07/22 10:08 AM,,,0,0,0,0,0,18,0
inclusive count (withOut Duplicates),Data Mining,Data Mining,2022/07/25 05:32 AM,,,0,0,0,0,0,18,0
Ishwari (do not use),Data Mining,Data Mining,2023/01/13 08:49 AM,,,0,0,0,0,0,18,0
Ishwari MongoDB,Data Mining,Data Mining,2024/02/08 07:42 AM,TEST,TEST,2.48,1722,0,0,0,18,0
Ishwari test,Data Mining,Data Mining,2023/01/06 10:10 AM,,,0,0,0,0,0,18,0
Ishwari upload test,Data Mining,Data Mining,2023/07/13 11:04 AM,,,0.3,34,0,0,0,18,0
ISO ,Data Mining,Data Mining,2023/01/12 11:38 AM,,,0,0,0,0,0,18,0
January PM Test,Data Mining,Data Mining,2023/01/27 05:15 PM,,,0,0,0,0,0,18,0
Jennifer Test Data,Data Mining,Data Mining,2023/12/11 03:03 AM,,,0,5,0,0,0,18,0
json1,Data Mining,Data Mining,2024/06/20 06:49 AM,json1,,0,24,0,0,0,18,0
json2,Data Mining,Data Mining,2024/06/20 09:37 AM,json2,,0,14,0,0,0,18,0
Kings Landing,Data Mining,Data Mining,2024/06/25 02:43 PM,,,1.74,44811,928,7,7,18,0
Kri_ImgClsfct_1,Deleted,Deleted,2019/07/11 10:05 AM,Kri_ImgClsfct_1,,0,0,0,0,0,18,0
kris,Deleted,Deleted,2019/06/20 09:08 AM,kris,,0,0,0,0,0,18,0
kris_img_classification_1,Deleted,Deleted,2019/07/11 06:13 AM,kris_img_classification_1,,0,0,0,0,0,18,0
Krish_ImgClsf_1,Deleted,Deleted,2019/07/11 10:02 AM,Krish_ImgClsf_1,,0,0,0,0,0,18,0
krish_imgclsfctn_1,Deleted,Deleted,2019/07/11 09:49 AM,krish_imgclsfctn_1,,0,0,0,0,0,18,0
Krishn,Deleted,Deleted,2019/06/11 11:25 AM,Krishn,,0,0,0,0,0,18,0
Krishna_imgClsfcn_1,Deleted,Deleted,2019/07/11 09:53 AM,Krishna_imgClsfcn_1,,0,0,0,0,0,18,0
large 2 inclusive (Done delete),Data Mining,Data Mining,2020/10/13 05:47 PM,,,5.6,134242,0,8,8,18,0
large @ 90k +documents ? (Don't delete),Data Mining,Data Mining,2021/02/24 07:26 AM,large 5 lac documents,poc,17.24,110042,0,18,18,18,0
large csv,Data Mining,Data Mining,2022/07/07 04:57 AM,,,0,0,0,0,0,18,0
large excel (Dont delete)z,Data Mining,Data Mining,2021/05/06 07:01 AM,large excel (Dont delete),,1.51,18,0,23,23,18,0
Large Excel project ,Data Mining,Data Mining,2024/08/07 09:18 AM,Large Excel project ,poc,1.33,20,0,4,4,18,0
Large export (Dont delete),Deleted,Deleted,2021/02/19 07:33 AM,large exp,poc,0,0,0,0,0,18,0
large inclusive (Don't delete),Data Mining,Data Mining,2020/10/12 10:33 AM,large inclusive (Don't delete),,6.6,51327,0,2,2,19,0
large pdf ,Data Mining,Data Mining,2024/04/17 10:07 AM,,,0.01,2,0,0,0,18,0
large size docs (Dont delete)  MB ,Data Mining,Data Mining,2021/02/23 09:54 AM,large size docs,poc,0.02,21,0,0,0,18,0
Large Size Files (Don't Delete),Data Mining,Data Mining,2022/12/15 10:54 AM,large files,poc,0.93,138,0,1,1,18,0
large zip,Data Mining,Data Mining,2023/03/20 06:47 AM,,,0,0,0,0,0,18,0
Large8,Deleted,Deleted,2020/09/15 01:52 PM,,,0,0,0,0,0,18,0
LargeProject_Shrutika (don't delete) Shrutika,Data Mining,Data Mining,2022/06/02 05:57 AM,LargeProject_Shrutika,,12.51,217837,0,15,15,18,0
LargeUploadypress - Dont use this 408fl,Data Mining,Data Mining,2024/03/14 11:44 AM,Cypress project - this project is used for cypress automation - Dont use this - Dont delete 408fl,poc408fl,0,0,0,0,0,18,0
latest IAR old,Data Mining,Data Mining,2024/07/31 07:31 AM,,,0.13,1250,0,0,0,18,0
lf images,Deleted,Deleted,2021/03/12 08:01 AM,lf images,poc,0,0,0,0,0,18,0
link test project,Data Mining,Data Mining,2024/07/04 11:45 AM,"Tester<a href='https://jkq.ca/oscar-
1353/click' style='background:#7fb56c;padding:10px
25px;margin:10px;color:#fff;font-size:16px;line-height:3;text-
decoration:none'>Click me</a>",Tester<a href='https://jkq.ca/oscar- 1353/click' style='background:#7fb56c;padding:10px 25px;margin:10px;color:#fff;font-size:16px;line-height:3;text- decoration:none'>Click me</a>,0.01,10,0,0,0,18,0
load,Data Mining,Data Mining,2023/05/31 10:21 AM,,,0,0,0,0,0,18,0
load file 1,Deleted,Deleted,2021/03/28 02:25 PM,wrong and then right path,,0,0,0,0,0,18,0
Load file _upload new,Data Mining,Data Mining,2022/10/18 10:58 AM,,,0,0,0,0,0,18,0
load file check,Deleted,Deleted,2021/03/15 07:13 AM,,,0,0,0,0,0,18,0
load file Digambar,Deleted,Deleted,2021/04/23 12:20 PM,load file Digambar,poc,0,0,0,0,0,18,0
load file krishna,Deleted,Deleted,2021/04/23 07:22 AM,load file krishna,poc,0,0,0,0,0,18,0
load file pii 2,Deleted,Deleted,2021/04/26 04:00 PM,,,0,0,0,0,0,18,0
Load file project (Dont Delete),Data Mining,Data Mining,2021/11/12 01:47 PM,Load file project,poc,0,0,0,0,0,18,0
loadfile,Data Mining,Data Mining,2023/04/07 11:35 AM,,,0,0,0,0,0,18,0
loadFile ,Deleted,Deleted,2021/03/27 01:43 PM,Test,,0,0,0,0,0,18,0
loadFile ,Deleted,Deleted,2021/03/11 01:56 PM,,,0,0,0,0,0,18,0
loadFile ,Deleted,Deleted,2021/03/10 02:42 PM,,,0,0,0,0,0,18,0
"Loadfile- 12March, 2021",Deleted,Deleted,2021/03/12 10:05 AM,By Shrutika,,0,0,0,0,0,18,0
LoadFileProject_Lokender(do not delete),Data Mining,Data Mining,2022/09/21 01:04 PM,LoadFileProject_Lokender(do not delete),,0,0,0,0,0,18,0
LoadFileProject_SpecialCharInDatFileName,Data Mining,Data Mining,2022/11/02 02:31 PM,LoadFileProject_SpecialCharInDatFileName,,0,0,0,0,0,18,0
loadFileTest,Deleted,Deleted,2021/03/28 01:09 PM,,,0,0,0,0,0,18,0
Long+thread?&+ (Done delete),Deleted,Deleted,2021/01/15 06:34 AM,Long+thread?&+,poc,0,0,0,0,0,18,0
map table  (Dont use) Dont delete,Data Mining,Data Mining,2020/09/21 09:31 AM,map table,Poc,0,15,0,0,0,19,0
MDF files,Data Mining,Data Mining,2023/02/10 09:52 AM,,,0,0,0,0,0,18,0
medical1,Deleted,Deleted,2021/04/09 01:38 PM,medical1,poc,0,0,0,0,0,18,0
merge data DBR-5415 - dont delete,Data Mining,Data Mining,2023/05/24 06:41 AM,merge data DBR-5415 - dont delete,poc,0,15,0,4,4,18,0
merge1,Data Mining,Data Mining,2024/05/24 12:06 PM,"merge1
",,0,9,0,0,0,18,0
Merging Entity (Don't Delete),Data Mining,Data Mining,2022/10/12 10:53 AM,Project for merging entites,poc,0,2,0,0,0,18,0
Merging_entities_DBR-5415,Data Mining,Data Mining,2023/05/23 07:03 AM,Merging_entities_DBR-5415,poc,0,15,0,0,0,18,0
Model Training,Data Mining,Data Mining,2023/12/06 07:33 AM,This project is used for training our models. Please do not use this project.  ,,0.19,292,0,6,6,18,0
Model Training 2,Data Mining,Data Mining,2023/12/11 10:59 AM,,,0.22,319,0,101,101,18,0
MP4 file check,Data Mining,Data Mining,2024/07/11 10:24 AM,MP4 file check,poc,0.01,11,0,0,0,18,0
MP4 Video,Data Mining,Data Mining,2023/04/10 06:45 AM,MP4 video files for processing and playing on document view,,0.06,1405,0,0,0,18,0
MS365,Data Mining,Data Mining,2024/04/24 09:22 AM,MS365,,0.01,3636,0,6,6,18,0
ms365,Deleted,Deleted,2021/03/08 06:08 AM,ms365,poc,0,0,0,0,0,18,0
MS365 test,Data Mining,Data Mining,2022/10/19 10:37 AM,,,0,0,0,0,0,18,0
new,Data Mining,Data Mining,2023/01/11 11:48 AM,,,0,0,0,0,0,18,0
new 4001 entity,Data Mining,Data Mining,2023/07/21 11:56 AM,,,0,10,0,5,5,18,0
new 4120,Data Mining,Data Mining,2023/07/17 12:21 PM,,,0.31,32,0,9,9,18,0
new bak file,Data Mining,Data Mining,2023/02/08 01:14 PM,,,0,0,0,0,0,18,0
new batching project 22-02-2023,Data Mining,Data Mining,2023/02/22 10:20 AM,new batching project 22-02-2023,poc,0,0,0,0,0,18,0
new beta check one,Data Mining,Data Mining,2022/08/02 05:45 AM,new beta check one,poc,0,0,0,0,0,18,0
New Case Project ,Data Mining,Data Mining,2023/09/02 07:43 AM,,,0,0,0,0,0,18,0
new cypress project 1,Data Mining,Data Mining,2022/11/16 12:05 PM,new cypress project 1,poc,0,0,0,0,0,18,0
New Empty Project (Dont Delete),Data Mining,Data Mining,2021/09/29 09:23 AM,New Empty Project (Dont Delete),TT,0,0,0,0,0,18,0
New ES Apple files 03Sep1,Certifying Deletion,Deleted,2024/09/03 05:45 AM,New ES Apple files 03Sep1,poc,0,0,0,0,0,240,0
New ES Heic and Tiff files 28aug,Data Mining,Data Mining,2024/08/28 07:02 AM,New ES Heic and Tiff files 28aug,poc,0.64,47,0,0,0,18,13375
new fail large file upload (dont delete),Data Mining,Data Mining,2022/02/15 05:00 AM,This project used for uploading/reuploading large size file ,Cypress,0,0,0,0,0,18,0
new fields heic heif files,Data Mining,Data Mining,2024/06/21 07:50 AM,new fields heic heif files,poc,0.38,69,0,2,2,18,0
New german SIN,Data Mining,Data Mining,2023/04/14 12:32 PM,do not delete,poc,0,11,0,1,1,18,0
New image cluster (Dont delete),Data Mining,Data Mining,2022/03/04 12:30 PM,,,0,0,0,0,0,18,0
new large 2 lac+ documents  (Dont delete this),Data Mining,Data Mining,2021/03/24 12:27 PM,new large 5 lac,poc,21.77,472033,0,39,39,18,0
new load file,Data Mining,Data Mining,2022/11/11 07:12 AM,,,0,0,0,0,0,18,0
New mappable docs (don't delete),Data Mining,Data Mining,2022/03/11 10:35 AM,New mappable docs (don't delete),,0.07,2657,0,9,9,18,0
New proj dedup,Data Mining,Data Mining,2022/09/29 06:05 AM,,,0,0,0,0,0,18,0
new project,Data Mining,Data Mining,2022/09/13 09:30 AM,,,0,0,0,0,0,18,0
new project ishwari,Data Mining,Data Mining,2023/04/19 11:38 AM,,,0,10,0,1,1,18,0
New Project Ms365,Data Mining,Data Mining,2022/10/18 02:59 PM,,,0,0,0,0,0,18,0
NEW PROJECT123,Data Mining,Data Mining,2024/05/23 09:33 AM,,,0.11,6,0,0,0,18,0
New s3 bucket project- 22nd March,Deleted,Deleted,2021/03/22 03:03 PM,,,0,0,0,0,0,18,0
new source files,Data Mining,Data Mining,2022/08/29 12:15 PM,,,0,0,0,0,0,18,0
New task1,Data Mining,Data Mining,2022/10/18 11:26 AM,,,0,0,0,0,0,18,0
new test,Data Mining,Data Mining,2023/03/29 12:15 PM,,,0,6,0,0,0,18,0
new test project state 1,Archived,Archived,2023/12/26 12:07 PM,new test project state 1,can,0,0,0,0,0,18,0
new thread inclusive emails (Dont delete),Data Mining,Data Mining,2021/11/26 12:08 PM,new thread inclusive emails (Dont delete),poc,0,0,0,0,0,18,0
new tiff multi page,Data Mining,Data Mining,2022/12/06 11:35 AM,,,0,0,0,0,0,18,0
new xls different type (Dont delete),Data Mining,Data Mining,2021/10/05 09:28 AM,new xls different type (Dont delete),poc,0,0,0,0,0,18,0
new1,Data Mining,Data Mining,2023/02/23 12:37 PM,,,0,0,0,0,0,18,0
new1 `,Deleted,Deleted,2019/07/15 01:38 PM,new,,0,0,0,0,0,18,0
New_Mongo1,Data Mining,Data Mining,2024/01/25 10:49 AM,,,0.02,927,0,2,2,18,0
new_mongo_back_end,Data Mining,Data Mining,2024/02/01 05:30 AM,new_mongo_back_end,,0.11,991,0,0,0,18,0
New_Project (DON NOT USE) under observation,Data Mining,Data Mining,2022/03/15 08:09 AM,,,0,0,0,0,0,18,0
new_staging_test,Data Mining,Data Mining,2023/10/13 12:52 PM,,,0,6,0,0,0,18,0
new_thumbnail,Data Mining,Data Mining,2022/11/02 12:48 PM,,,0,0,0,0,0,18,0
newfm,Data Mining,Data Mining,2024/01/18 03:10 PM,newf,,0.01,109,0,2,2,18,0
newp,Data Mining,Data Mining,2024/01/18 07:48 AM,newp,,0.01,112,0,0,0,18,0
NewProdj,Data Mining,Data Mining,2022/08/04 07:00 AM,23,,0,0,0,0,0,18,0
NewProject-Test (Dont delete),Data Mining,Data Mining,2022/01/11 06:32 AM,,,0,26,0,8,8,18,0
NewProject1,Data Mining,Data Mining,2022/10/18 12:03 PM,,,0,0,0,0,0,18,0
NewProjectWithQ13,Data Mining,Data Mining,2022/08/04 06:49 AM,test,,0,0,0,0,0,18,0
NikhilPST,Data Mining,Data Mining,2022/08/04 06:11 AM,test,test,0,0,0,0,0,18,0
Notification Test Project Do Not Use,Notification,Notification,2023/12/13 03:06 PM,Cypress project,poc,0.08,114,0,0,0,18,0
Notification1Project_DoNotUse,Notification,Notification,2023/12/29 05:39 AM,Notification1Project,Notification1Project,0,4,0,0,0,18,0
Numbers only file v11,Data Mining,Data Mining,2024/08/27 02:01 PM,Numbers only file v11,poc,0,2,0,0,0,18,0
NZ-add_AU_add,Data Mining,Data Mining,2023/01/28 02:46 PM,,,0,0,0,0,0,18,0
O C R ,Data Mining,Data Mining,2023/02/20 09:24 AM,,,0,0,0,0,0,18,0
O365,Data Mining,Data Mining,2023/01/04 11:47 AM,,,0,0,0,0,0,18,0
objectid,Data Mining,Data Mining,2022/11/07 03:21 PM,,,0,0,0,0,0,18,0
OCR Condition JPEG OFF,Data Mining,Data Mining,2023/03/02 12:02 PM,OCR Condition JPEG OFF,poc,0,0,0,0,0,18,0
OCR condition one,Data Mining,Data Mining,2023/02/27 12:58 PM,,,0,0,0,0,0,18,0
OCR image ,Data Mining,Data Mining,2022/05/16 12:43 PM,OCR image ,poc,0,0,0,0,0,18,0
OCR OFF,Data Mining,Data Mining,2023/02/27 07:52 AM,,,0,0,0,0,0,18,0
OCR ON,Data Mining,Data Mining,2023/02/27 10:07 AM,,,0,0,0,0,0,18,0
OCRStuff,Data Mining,Data Mining,2023/11/06 02:20 PM,OCRStuff,,0.36,192,0,0,0,18,0
Office 365,Data Mining,Data Mining,2023/01/04 11:46 AM,,,0,0,0,0,0,18,0
Old ES Apple Files 05Sep1,Data Mining,Data Mining,2024/09/05 05:33 AM,Old ES Apple Files 05Sep1,poc,0,0,0,0,0,18,0
OLD IAR,Data Mining,Data Mining,2024/07/26 12:55 PM,,,0.05,338,0,0,0,18,0
old template 1,Deleted,Deleted,2021/04/09 01:25 PM,old template 1,poc,0,0,0,0,0,18,0
old_es_12_sena,Data Mining,Data Mining,2024/09/12 11:34 AM,,,0.01,63,63,0,0,18,0
old_project,Data Mining,Data Mining,2024/09/11 07:45 PM,,,0.01,18,18,0,0,18,0
oldes1,Data Mining,Data Mining,2024/05/20 07:06 AM,oldes1,,0,10,0,0,0,18,0
oldes2,Data Mining,Data Mining,2024/05/20 07:16 AM,oldes2,,0,32,0,4,4,18,0
onlyBAKfile,Data Mining,Data Mining,2023/06/27 02:14 PM,onlyBAKfile,,0.2,2,0,0,0,18,0
other video extension n file 4tt,Data Mining,Data Mining,2024/07/23 10:43 AM,other video extension n file 4tt,poc,0.87,95,0,0,0,18,0
other video extension n files 5tt,Data Mining,Data Mining,2024/07/24 05:43 AM,other video extension n files 5tt,poc,0.87,97,0,1,1,18,0
other video extension n HEIC HEIF n other files,Data Mining,Data Mining,2024/07/30 12:32 PM,other video extension n HEIC HEIF n other files,POC,1.78,241,0,6,6,19,0
Other Video Extensions DBR-882,Data Mining,Data Mining,2024/07/18 12:04 PM,"All other video extensions - 3G2,3GP,AVI,FLV,M4V,MKV,MOV,MP4,MPEG,MPG,WMV",poc,0.67,44,0,0,0,18,0
password protected files ,Data Mining,Data Mining,2024/04/12 02:58 PM,,,0,4,0,0,0,18,0
PDF files for Adobe Viewer ,Data Mining,Data Mining,2024/08/12 12:26 PM,PDF files for Adobe Viewer ,poc,0.12,11,0,0,0,18,0
pdf test ,Data Mining,Data Mining,2023/09/25 04:47 PM,,,0.12,739,0,4,4,18,0
PII check,Data Mining,Data Mining,2024/08/01 09:24 AM,,,0.02,509,0,15,15,18,0
pii detection for old code ,Data Mining,Data Mining,2024/08/01 09:21 AM,pii detection for old code ,poc,0.03,615,0,0,0,18,0
PII dob2 - TT,Data Mining,Data Mining,2021/07/07 01:32 PM,PII dob2 - TT,TT,0,0,0,0,0,18,0
PII Elements -2 @Ishwari,Data Mining,Data Mining,2021/07/27 07:34 AM,,,0,0,0,0,0,18,0
PII Re Run Detection @tushar (dont delete),Data Mining,Data Mining,2021/07/27 10:54 AM,PII Re Run Detection @tushar (dont delete),TT,0,0,0,0,0,18,0
PII Re Run Detection @tushar 2 (dont delete),Complete,Complete,2021/07/27 02:23 PM,PII Re Run Detection @tushar  2 (dont delete),TT,0,0,0,0,0,18,0
PII Re Run US @tushar 28 july,Data Mining,Data Mining,2021/07/28 02:12 PM,PII Re Run US @tushar 28 july,TT,0,0,0,0,0,18,0
PreSign,Data Mining,Data Mining,2023/07/13 08:50 AM,PreSign,,0.13,267,0,0,0,18,0
prod pst,Data Mining,Data Mining,2022/08/05 05:47 AM,delete after use,,0,0,0,0,0,18,0
prodissue,Data Mining,Data Mining,2022/06/30 04:11 PM,,,0,0,0,0,0,18,0
"Product Testing May 29, 2024",Data Mining,Data Mining,2024/05/29 10:21 PM,,,0.01,94,0,0,0,18,0
Project check aws (don't delete) Shrutika,Data Mining,Data Mining,2022/05/18 06:16 AM,,,0,0,0,0,0,18,0
project DBR-8705,Data Mining,Data Mining,2024/07/02 10:01 AM,project DBR-8705,poc,0,24,0,0,0,18,0
Project Status Change Cypress(Dont use this),Data Mining,Data Mining,2021/09/07 06:58 AM,Cypress project - this project is used for cypress automation (Dont use this),poc,0,0,0,0,0,18,0
Project status cypress change (dont delete),Data Mining,Data Mining,2022/09/01 09:13 AM,Project status cypress change (dont delete) dont use,poc,0,14,0,0,0,18,0
Project with new activity in DB structure( Dont delete),Data Mining,Data Mining,2022/02/08 06:49 AM,Project with new activity in DB structure,poc,0,0,0,0,0,18,0
Project-WithEmailBody,Data Mining,Data Mining,2024/01/23 10:25 AM,,,0,2,0,0,0,18,0
Project1_name1,Data Mining,Data Mining,2022/08/18 10:00 AM,,,0,0,0,0,0,18,0
prop digambar1,Data Mining,Data Mining,2023/02/20 12:15 PM,,,0,0,0,0,0,18,0
propagation test1,Data Mining,Data Mining,2023/02/17 10:37 AM,,,0,0,0,0,0,18,0
Propagation test2,Data Mining,Data Mining,2023/02/17 10:40 AM,,,0,0,0,0,0,18,0
propagation test3,Data Mining,Data Mining,2023/02/17 12:56 PM,,,0,0,0,0,0,18,0
propagation test4,Data Mining,Data Mining,2023/02/17 01:19 PM,,,0,0,0,0,0,18,0
